,Province,Cultural activities,Estimates,Type,Count,Scale,City,City 2,City 3,City 4,City 5,City 6,City 7
0,British Columbia,Making music,Number of persons,Persons,635.0,thousands,Vancouver,,,,,,
1,British Columbia,Making music,Percentage of persons,Percent,15.8,units,Vancouver,,,,,,
2,British Columbia,Theatre,Number of persons,Persons,0.0,thousands,Vancouver,,,,,,
3,British Columbia,Theatre,Percentage of persons,Percent,0.0,units,Vancouver,,,,,,
4,British Columbia,Audio-visual and interactive media,Number of persons,Persons,183.0,thousands,Vancouver,,,,,,
5,British Columbia,Audio-visual and interactive media,Percentage of persons,Percent,4.5,units,Vancouver,,,,,,
6,British Columbia,Dancing,Number of persons,Persons,394.0,thousands,Vancouver,,,,,,
7,British Columbia,Dancing,Percentage of persons,Percent,9.8,units,Vancouver,,,,,,
8,British Columbia,Visual arts,Number of persons,Persons,594.0,thousands,Vancouver,,,,,,
9,British Columbia,Visual arts,Percentage of persons,Percent,14.8,units,Vancouver,,,,,,
10,British Columbia,Crafting,Number of persons,Persons,744.0,thousands,Vancouver,,,,,,
11,British Columbia,Crafting,Percentage of persons,Percent,18.5,units,Vancouver,,,,,,
12,British Columbia,Writing,Number of persons,Persons,478.0,thousands,Vancouver,,,,,,
13,British Columbia,Writing,Percentage of persons,Percent,11.9,units,Vancouver,,,,,,
14,British Columbia,Other cultural activities,Number of persons,Persons,203.0,thousands,Vancouver,,,,,,
15,British Columbia,Other cultural activities,Percentage of persons,Percent,5.0,units,Vancouver,,,,,,
16,British Columbia,Did not participate in cultural activities,Number of persons,Persons,1831.0,thousands,Vancouver,,,,,,
17,British Columbia,Did not participate in cultural activities,Percentage of persons,Percent,45.5,units,Vancouver,,,,,,
18,Alberta,Making music,Number of persons,Persons,427.0,thousands,Calgary,Edmonton,,,,,
19,Alberta,Making music,Percentage of persons,Percent,12.3,units,Calgary,Edmonton,,,,,
20,Alberta,Theatre,Number of persons,Persons,0.0,thousands,Calgary,Edmonton,,,,,
21,Alberta,Theatre,Percentage of persons,Percent,0.0,units,Calgary,Edmonton,,,,,
22,Alberta,Audio-visual and interactive media,Number of persons,Persons,140.0,thousands,Calgary,Edmonton,,,,,
23,Alberta,Audio-visual and interactive media,Percentage of persons,Percent,4.0,units,Calgary,Edmonton,,,,,
24,Alberta,Dancing,Number of persons,Persons,353.0,thousands,Calgary,Edmonton,,,,,
25,Alberta,Dancing,Percentage of persons,Percent,10.2,units,Calgary,Edmonton,,,,,
26,Alberta,Visual arts,Number of persons,Persons,467.0,thousands,Calgary,Edmonton,,,,,
27,Alberta,Visual arts,Percentage of persons,Percent,13.5,units,Calgary,Edmonton,,,,,
28,Alberta,Crafting,Number of persons,Persons,667.0,thousands,Calgary,Edmonton,,,,,
29,Alberta,Crafting,Percentage of persons,Percent,19.3,units,Calgary,Edmonton,,,,,
30,Alberta,Writing,Number of persons,Persons,404.0,thousands,Calgary,Edmonton,,,,,
31,Alberta,Writing,Percentage of persons,Percent,11.7,units,Calgary,Edmonton,,,,,
32,Alberta,Other cultural activities,Number of persons,Persons,144.0,thousands,Calgary,Edmonton,,,,,
33,Alberta,Other cultural activities,Percentage of persons,Percent,4.2,units,Calgary,Edmonton,,,,,
34,Alberta,Did not participate in cultural activities,Number of persons,Persons,1653.0,thousands,Calgary,Edmonton,,,,,
35,Alberta,Did not participate in cultural activities,Percentage of persons,Percent,47.8,units,Calgary,Edmonton,,,,,
36,Manitoba,Making music,Number of persons,Persons,181.0,thousands,Winnipeg,,,,,,
37,Manitoba,Making music,Percentage of persons,Percent,17.2,units,Winnipeg,,,,,,
38,Manitoba,Theatre,Number of persons,Persons,0.0,thousands,Winnipeg,,,,,,
39,Manitoba,Theatre,Percentage of persons,Percent,0.0,units,Winnipeg,,,,,,
40,Manitoba,Audio-visual and interactive media,Number of persons,Persons,0.0,thousands,Winnipeg,,,,,,
41,Manitoba,Audio-visual and interactive media,Percentage of persons,Percent,0.0,units,Winnipeg,,,,,,
42,Manitoba,Dancing,Number of persons,Persons,78.0,thousands,Winnipeg,,,,,,
43,Manitoba,Dancing,Percentage of persons,Percent,7.4,units,Winnipeg,,,,,,
44,Manitoba,Visual arts,Number of persons,Persons,120.0,thousands,Winnipeg,,,,,,
45,Manitoba,Visual arts,Percentage of persons,Percent,11.4,units,Winnipeg,,,,,,
46,Manitoba,Crafting,Number of persons,Persons,197.0,thousands,Winnipeg,,,,,,
47,Manitoba,Crafting,Percentage of persons,Percent,18.6,units,Winnipeg,,,,,,
48,Manitoba,Writing,Number of persons,Persons,93.0,thousands,Winnipeg,,,,,,
49,Manitoba,Writing,Percentage of persons,Percent,8.8,units,Winnipeg,,,,,,
50,Manitoba,Other cultural activities,Number of persons,Persons,68.0,thousands,Winnipeg,,,,,,
51,Manitoba,Other cultural activities,Percentage of persons,Percent,6.4,units,Winnipeg,,,,,,
52,Manitoba,Did not participate in cultural activities,Number of persons,Persons,500.0,thousands,Winnipeg,,,,,,
53,Manitoba,Did not participate in cultural activities,Percentage of persons,Percent,47.3,units,Winnipeg,,,,,,
54,Ontario,Making music,Number of persons,Persons,1847.0,thousands,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
55,Ontario,Making music,Percentage of persons,Percent,15.8,units,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
56,Ontario,Theatre,Number of persons,Persons,217.0,thousands,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
57,Ontario,Theatre,Percentage of persons,Percent,1.9,units,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
58,Ontario,Audio-visual and interactive media,Number of persons,Persons,624.0,thousands,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
59,Ontario,Audio-visual and interactive media,Percentage of persons,Percent,5.4,units,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
60,Ontario,Dancing,Number of persons,Persons,1181.0,thousands,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
61,Ontario,Dancing,Percentage of persons,Percent,10.1,units,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
62,Ontario,Visual arts,Number of persons,Persons,1736.0,thousands,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
63,Ontario,Visual arts,Percentage of persons,Percent,14.9,units,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
64,Ontario,Crafting,Number of persons,Persons,2257.0,thousands,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
65,Ontario,Crafting,Percentage of persons,Percent,19.4,units,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
66,Ontario,Writing,Number of persons,Persons,1516.0,thousands,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
67,Ontario,Writing,Percentage of persons,Percent,13.0,units,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
68,Ontario,Other cultural activities,Number of persons,Persons,692.0,thousands,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
69,Ontario,Other cultural activities,Percentage of persons,Percent,5.9,units,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
70,Ontario,Did not participate in cultural activities,Number of persons,Persons,5266.0,thousands,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
71,Ontario,Did not participate in cultural activities,Percentage of persons,Percent,45.2,units,Windsor,London,Kitchener,St.Catherines,Hamilton,Toronto,Ottawa
72,Quebec,Making music,Number of persons,Persons,807.0,thousands,Montreal,Quebec City,Gatineau,,,,
73,Quebec,Making music,Percentage of persons,Percent,11.6,units,Montreal,Quebec City,Gatineau,,,,
74,Quebec,Theatre,Number of persons,Persons,0.0,thousands,Montreal,Quebec City,Gatineau,,,,
75,Quebec,Theatre,Percentage of persons,Percent,0.0,units,Montreal,Quebec City,Gatineau,,,,
76,Quebec,Audio-visual and interactive media,Number of persons,Persons,183.0,thousands,Montreal,Quebec City,Gatineau,,,,
77,Quebec,Audio-visual and interactive media,Percentage of persons,Percent,2.6,units,Montreal,Quebec City,Gatineau,,,,
78,Quebec,Dancing,Number of persons,Persons,491.0,thousands,Montreal,Quebec City,Gatineau,,,,
79,Quebec,Dancing,Percentage of persons,Percent,7.1,units,Montreal,Quebec City,Gatineau,,,,
80,Quebec,Visual arts,Number of persons,Persons,589.0,thousands,Montreal,Quebec City,Gatineau,,,,
81,Quebec,Visual arts,Percentage of persons,Percent,8.5,units,Montreal,Quebec City,Gatineau,,,,
82,Quebec,Crafting,Number of persons,Persons,781.0,thousands,Montreal,Quebec City,Gatineau,,,,
83,Quebec,Crafting,Percentage of persons,Percent,11.2,units,Montreal,Quebec City,Gatineau,,,,
84,Quebec,Writing,Number of persons,Persons,517.0,thousands,Montreal,Quebec City,Gatineau,,,,
85,Quebec,Writing,Percentage of persons,Percent,7.4,units,Montreal,Quebec City,Gatineau,,,,
86,Quebec,Other cultural activities,Number of persons,Persons,254.0,thousands,Montreal,Quebec City,Gatineau,,,,
87,Quebec,Other cultural activities,Percentage of persons,Percent,3.6,units,Montreal,Quebec City,Gatineau,,,,
88,Quebec,Did not participate in cultural activities,Number of persons,Persons,4153.0,thousands,Montreal,Quebec City,Gatineau,,,,
89,Quebec,Did not participate in cultural activities,Percentage of persons,Percent,59.7,units,Montreal,Quebec City,Gatineau,,,,
90,Nova Scotia,Making music,Number of persons,Persons,144.0,thousands,Halifax,,,,,,
91,Nova Scotia,Making music,Percentage of persons,Percent,17.9,units,Halifax,,,,,,
92,Nova Scotia,Theatre,Number of persons,Persons,0.0,thousands,Halifax,,,,,,
93,Nova Scotia,Theatre,Percentage of persons,Percent,0.0,units,Halifax,,,,,,
94,Nova Scotia,Audio-visual and interactive media,Number of persons,Persons,35.0,thousands,Halifax,,,,,,
95,Nova Scotia,Audio-visual and interactive media,Percentage of persons,Percent,4.3,units,Halifax,,,,,,
96,Nova Scotia,Dancing,Number of persons,Persons,62.0,thousands,Halifax,,,,,,
97,Nova Scotia,Dancing,Percentage of persons,Percent,7.7,units,Halifax,,,,,,
98,Nova Scotia,Visual arts,Number of persons,Persons,121.0,thousands,Halifax,,,,,,
99,Nova Scotia,Visual arts,Percentage of persons,Percent,15.0,units,Halifax,,,,,,
100,Nova Scotia,Crafting,Number of persons,Persons,186.0,thousands,Halifax,,,,,,
101,Nova Scotia,Crafting,Percentage of persons,Percent,23.2,units,Halifax,,,,,,
102,Nova Scotia,Writing,Number of persons,Persons,84.0,thousands,Halifax,,,,,,
103,Nova Scotia,Writing,Percentage of persons,Percent,10.4,units,Halifax,,,,,,
104,Nova Scotia,Other cultural activities,Number of persons,Persons,68.0,thousands,Halifax,,,,,,
105,Nova Scotia,Other cultural activities,Percentage of persons,Percent,8.5,units,Halifax,,,,,,
106,Nova Scotia,Did not participate in cultural activities,Number of persons,Persons,315.0,thousands,Halifax,,,,,,
107,Nova Scotia,Did not participate in cultural activities,Percentage of persons,Percent,39.1,units,Halifax,,,,,,
