City,City,Median monthly shelter costs for owned dwellings ($),Average monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Average monthly shelter costs for rented dwellings ($),Employment Rate (%)
0,Halifax,1270.0,1370.0,1170.0,1247.0,58.0
1,Québec,1140.0,1201.0,830.0,905.0,62.0
2,Montréal,1310.0,1420.0,880.0,981.0,60.7
3,Ottawa - Gatineau,1440.0,1562.0,1230.0,1296.0,59.6
4,Ottawa - Gatineau (Ontario part),1550.0,1648.0,1370.0,1412.0,59.2
5,Toronto,1900.0,2108.0,1540.0,1618.0,56.1
6,Hamilton,1500.0,1690.0,1210.0,1328.0,55.3
7,St. Catharines - Niagara,1130.0,1336.0,1080.0,1172.0,48.6
8,Kitchener - Cambridge - Waterloo,1540.0,1612.0,1300.0,1352.0,59.2
9,London,1240.0,1412.0,1110.0,1198.0,54.4
10,Windsor,1070.0,1262.0,980.0,1069.0,49.5
11,Winnipeg,1250.0,1342.0,1100.0,1140.0,60.3
12,Calgary,1740.0,1802.0,1350.0,1416.0,60.8
13,Edmonton,1700.0,1720.0,1290.0,1330.0,60.0
14,Vancouver,1620.0,1980.0,1500.0,1624.0,60.0
