"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Canada","2016A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","118.84","","","","2"
"1998","Canada","2016A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","97.80","","","","2"
"1998","Canada","2016A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","126.93","","","","2"
"1998","Canada","2016A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","110.24","","","","2"
"1998","Canada","2016A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","86.59","","","","2"
"1998","Canada","2016A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","128.25","","","","2"
"1998","Canada","2016A000011124","Weighted clearance rate","Number","223","units","0","v53079449","1.13","34.06","","","","2"
"1998","Canada","2016A000011124","Violent weighted clearance rate","Number","223","units","0","v53079451","1.15","55.66","","","","2"
"1998","Canada","2016A000011124","Non-violent weighted clearance rate","Number","223","units","0","v53079453","1.17","27.66","","","","2"
"1998","Canada","2016A000011124","Percent change in non-violent weighted clearance rate","Percent","239","units","0","v53079454","1.18","","..","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Crime severity index","Index","160","units","0","v44312467","2.1","76.38","","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","58.43","","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","83.28","","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Youth crime severity index","Index","160","units","0","v53079560","2.7","109.72","","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Youth violent crime severity index","Index","160","units","0","v53079562","2.9","55.73","","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Youth non-violent crime severity index","Index","160","units","0","v53079552","2.11","150.84","","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Weighted clearance rate","Number","223","units","0","v53079554","2.13","41.91","","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Violent weighted clearance rate","Number","223","units","0","v53079556","2.15","62.81","","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Non-violent weighted clearance rate","Number","223","units","0","v53079558","2.17","36.27","","","","2"
"1998","Newfoundland and Labrador [10]","2016A000210","Percent change in non-violent weighted clearance rate","Percent","239","units","0","v53079559","2.18","","..","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Crime severity index","Index","160","units","0","v44312473","3.1","101.04","","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Violent crime severity index","Index","160","units","0","v44312475","3.3","66.55","","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Non-violent crime severity index","Index","160","units","0","v44312477","3.5","114.29","","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Youth crime severity index","Index","160","units","0","v53079663","3.7","","..","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Youth violent crime severity index","Index","160","units","0","v53079664","3.9","","..","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Youth non-violent crime severity index","Index","160","units","0","v53079656","3.11","","..","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Weighted clearance rate","Number","223","units","0","v53079657","3.13","31.64","","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Violent weighted clearance rate","Number","223","units","0","v53079659","3.15","52.62","","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Non-violent weighted clearance rate","Number","223","units","0","v53079661","3.17","26.95","","","","2"
"1998","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Percent change in non-violent weighted clearance rate","Percent","239","units","0","v53079662","3.18","","..","","","2"
