"Geo Code","Geo Name","Line Number"
"2021S0503001","St. John's",2
"2021S0504010","Grand Falls-Windsor",2633
"2021S0504011","Gander",5264
"2021S0504015","Corner Brook",7895
"2021S0504105","Charlottetown",10526
"2021S0504110","Summerside",13157
"2021S0503205","Halifax",15788
"2021S0504210","Kentville",18419
"2021S0504215","Truro",21050
"2021S0504220","New Glasgow",23681
"2021S0504225","Cape Breton",26312
"2021S0503305","Moncton",28943
"2021S0503310","Saint John",31574
"2021S0503320","Fredericton",34205
"2021S0504328","Bathurst",36836
"2021S0504329","Miramichi",39467
"2021S0504330","Campbellton",42098
"2021S050613330","Campbellton (New Brunswick part)",44729
"2021S050624330","Campbellton (Quebec part)",47360
"2021S0504335","Edmundston",49991
"2021S0504403","Matane",52622
"2021S0504404","Rimouski",55253
"2021S0504405","Rivière-du-Loup",57884
"2021S0504406","Baie-Comeau",60515
"2021S0503408","Saguenay",63146
"2021S0504410","Alma",65777
"2021S0504411","Dolbeau-Mistassini",68408
"2021S0504412","Sept-Îles",71039
"2021S0503421","Québec",73670
"2021S0504423","Sainte-Marie",76301
"2021S0504428","Saint-Georges",78932
"2021S0504430","Thetford Mines",81563
"2021S0503433","Sherbrooke",84194
"2021S0504437","Cowansville",86825
"2021S0504440","Victoriaville",89456
"2021S0503442","Trois-Rivières",92087
"2021S0504444","Shawinigan",94718
"2021S0503447","Drummondville",97349
"2021S0504450","Granby",99980
"2021S0504452","Saint-Hyacinthe",102611
"2021S0504454","Sorel-Tracy",105242
"2021S0504456","Joliette",107873
"2021S0503462","Montréal",110504
"2021S0504465","Salaberry-de-Valleyfield",113135
"2021S0504467","Sainte-Agathe-des-Monts",115766
"2021S0504468","Lachute",118397
"2021S0504480","Val-d'Or",121028
"2021S0504481","Amos",123659
"2021S0504485","Rouyn-Noranda",126290
"2021S0504501","Cornwall",128921
"2021S0504502","Hawkesbury",131552
"2021S050624502","Hawkesbury (Quebec part)",134183
"2021S050635502","Hawkesbury (Ontario part)",136814
"2021S0503505","Ottawa - Gatineau",139445
"2021S050524505","Ottawa - Gatineau (Quebec part)",142076
"2021S050535505","Ottawa - Gatineau (Ontario part)",144707
"2021S0504512","Brockville",147338
"2021S0504515","Pembroke",149969
"2021S0504516","Petawawa",152600
"2021S0503521","Kingston",155231
"2021S0503522","Belleville - Quinte West",157862
"2021S0504527","Cobourg",160493
"2021S0504528","Port Hope",163124
"2021S0503529","Peterborough",165755
"2021S0504530","Kawartha Lakes",168386
"2021S0504531","Centre Wellington",171017
"2021S0503532","Oshawa",173648
"2021S0504533","Ingersoll",176279
"2021S0503535","Toronto",178910
"2021S0503537","Hamilton",181541
"2021S0503539","St. Catharines - Niagara",184172
