"REF_DATE","GEO","DGUID","Age group","Sex","Current employment status","Perceived health","Cultural activities","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Number of persons","Persons","249","thousands","3","v119724632","13.1.1.1.1.1.1","635","","","","0"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Percentage of persons","Percent","239","units","0","v119724633","13.1.1.1.1.1.2","15.8","","","","1"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Number of persons","Persons","249","thousands","3","v119724636","13.1.1.1.1.2.1","","F","","","0"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Percentage of persons","Percent","239","units","0","v119724637","13.1.1.1.1.2.2","","F","","","1"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Number of persons","Persons","249","thousands","3","v119724640","13.1.1.1.1.3.1","183","E","","","0"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Percentage of persons","Percent","239","units","0","v119724641","13.1.1.1.1.3.2","4.5","E","","","1"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Number of persons","Persons","249","thousands","3","v119724644","13.1.1.1.1.4.1","394","","","","0"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Percentage of persons","Percent","239","units","0","v119724645","13.1.1.1.1.4.2","9.8","","","","1"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Number of persons","Persons","249","thousands","3","v119724648","13.1.1.1.1.5.1","594","","","","0"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Percentage of persons","Percent","239","units","0","v119724649","13.1.1.1.1.5.2","14.8","","","","1"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Number of persons","Persons","249","thousands","3","v119724652","13.1.1.1.1.6.1","744","","","","0"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Percentage of persons","Percent","239","units","0","v119724653","13.1.1.1.1.6.2","18.5","","","","1"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Number of persons","Persons","249","thousands","3","v119724656","13.1.1.1.1.7.1","478","","","","0"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Percentage of persons","Percent","239","units","0","v119724657","13.1.1.1.1.7.2","11.9","","","","1"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Number of persons","Persons","249","thousands","3","v119724660","13.1.1.1.1.8.1","203","","","","0"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Percentage of persons","Percent","239","units","0","v119724661","13.1.1.1.1.8.2","5.0","","","","1"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Number of persons","Persons","249","thousands","3","v119724664","13.1.1.1.1.9.1","1831","","","","0"
"2016","British Columbia","2016A000259","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Percentage of persons","Percent","239","units","0","v119724665","13.1.1.1.1.9.2","45.5","","","","1"


