REF_DATE,GEO,DGUID,Age group,Sex,Current employment status,Perceived health,Cultural activities,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Making music,Number of persons,Persons,181,thousands,3,v119258072,1.1.1.1.1.1.1,4374,,,,0
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Making music,Percentage of persons,Percent,17.2,units,0,v119258073,1.1.1.1.1.1.2,14.5,,,,1
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Theatre,Number of persons,Persons,0,thousands,3,v119258076,1.1.1.1.1.2.1,415,,,,0
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Theatre,Percentage of persons,Percent,0,units,0,v119258077,1.1.1.1.1.2.2,1.4,,,,1
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Audio-visual and interactive media,Number of persons,Persons,0,thousands,3,v119258080,1.1.1.1.1.3.1,1240,,,,0
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Audio-visual and interactive media,Percentage of persons,Percent,0,units,0,v119258081,1.1.1.1.1.3.2,4.1,,,,1
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Dancing,Number of persons,Persons,78,thousands,3,v119258084,1.1.1.1.1.4.1,2758,,,,0
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Dancing,Percentage of persons,Percent,7.4,units,0,v119258085,1.1.1.1.1.4.2,9.2,,,,1
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Visual arts,Number of persons,Persons,120,thousands,3,v119258088,1.1.1.1.1.5.1,3858,,,,0
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Visual arts,Percentage of persons,Percent,11.4,units,0,v119258089,1.1.1.1.1.5.2,12.8,,,,1
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Crafting,Number of persons,Persons,197,thousands,3,v119258092,1.1.1.1.1.6.1,5297,,,,0
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Crafting,Percentage of persons,Percent,18.6,units,0,v119258093,1.1.1.1.1.6.2,17.6,,,,1
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Writing,Number of persons,Persons,93,thousands,3,v119258096,1.1.1.1.1.7.1,3252,,,,0
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Writing,Percentage of persons,Percent,8.8,units,0,v119258097,1.1.1.1.1.7.2,10.8,,,,1
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Other cultural activities,Number of persons,Persons,68,thousands,3,v119258100,1.1.1.1.1.8.1,1566,,,,0
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Other cultural activities,Percentage of persons,Percent,6.4,units,0,v119258101,1.1.1.1.1.8.2,5.2,,,,1
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Did not participate in cultural activities,Number of persons,Persons,500,thousands,3,v119258104,1.1.1.1.1.9.1,14687,,,,0
2016,Manitoba,2016A000011124,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Did not participate in cultural activities,Percentage of persons,Percent,47.3,units,0,v119258105,1.1.1.1.1.9.2,48.8,,,,1
