REF_DATE,GEO,DGUID,Age group,Sex,Current employment status,Perceived health,Cultural activities,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Making music,Number of persons,Persons,94,thousands,3,v119452472,6.1.1.1.1.1.1,94,,,,0
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Making music,Percentage of persons,Percent,14.8,units,0,v119452473,6.1.1.1.1.1.2,14.8,,,,1
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Theatre,Number of persons,Persons,0,thousands,3,v119452476,6.1.1.1.1.2.1,,F,,,0
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Theatre,Percentage of persons,Percent,0,units,0,v119452477,6.1.1.1.1.2.2,,F,,,1
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Audio-visual and interactive media,Number of persons,Persons,20,thousands,3,v119452480,6.1.1.1.1.3.1,20,E,,,0
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Audio-visual and interactive media,Percentage of persons,Percent,3.1,units,0,v119452481,6.1.1.1.1.3.2,3.1,E,,,1
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Dancing,Number of persons,Persons,53,thousands,3,v119452484,6.1.1.1.1.4.1,53,,,,0
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Dancing,Percentage of persons,Percent,8.3,units,0,v119452485,6.1.1.1.1.4.2,8.3,,,,1
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Visual arts,Number of persons,Persons,74,thousands,3,v119452488,6.1.1.1.1.5.1,74,,,,0
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Visual arts,Percentage of persons,Percent,11.7,units,0,v119452489,6.1.1.1.1.5.2,11.7,,,,1
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Crafting,Number of persons,Persons,142,thousands,3,v119452492,6.1.1.1.1.6.1,142,,,,0
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Crafting,Percentage of persons,Percent,22.4,units,0,v119452493,6.1.1.1.1.6.2,22.4,,,,1
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Writing,Number of persons,Persons,36,thousands,3,v119452496,6.1.1.1.1.7.1,36,E,,,0
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Writing,Percentage of persons,Percent,5.7,units,0,v119452497,6.1.1.1.1.7.2,5.7,E,,,1
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Other cultural activities,Number of persons,Persons,42,thousands,3,v119452500,6.1.1.1.1.8.1,42,,,,0
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Other cultural activities,Percentage of persons,Percent,6.7,units,0,v119452501,6.1.1.1.1.8.2,6.7,,,,1
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Did not participate in cultural activities,Number of persons,Persons,293,thousands,3,v119452504,6.1.1.1.1.9.1,293,,,,0
2016,New Brunswick,2016A000213,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Did not participate in cultural activities,Percentage of persons,Percent,46.1,units,0,v119452505,6.1.1.1.1.9.2,46.1,,,,1
