"REF_DATE","GEO","DGUID","Age group","Sex","Current employment status","Perceived health","Cultural activities","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Number of persons","Persons","249","thousands","3","v119335832","3.1.1.1.1.1.1","76","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Percentage of persons","Percent","239","units","0","v119335833","3.1.1.1.1.1.2","17.1","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Number of persons","Persons","249","thousands","3","v119335836","3.1.1.1.1.2.1","","F","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Percentage of persons","Percent","239","units","0","v119335837","3.1.1.1.1.2.2","","F","","","1"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Number of persons","Persons","249","thousands","3","v119335840","3.1.1.1.1.3.1","","F","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Percentage of persons","Percent","239","units","0","v119335841","3.1.1.1.1.3.2","","F","","","1"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Number of persons","Persons","249","thousands","3","v119335844","3.1.1.1.1.4.1","61","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Percentage of persons","Percent","239","units","0","v119335845","3.1.1.1.1.4.2","13.6","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Number of persons","Persons","249","thousands","3","v119335848","3.1.1.1.1.5.1","39","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Percentage of persons","Percent","239","units","0","v119335849","3.1.1.1.1.5.2","8.8","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Number of persons","Persons","249","thousands","3","v119335852","3.1.1.1.1.6.1","97","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Percentage of persons","Percent","239","units","0","v119335853","3.1.1.1.1.6.2","21.6","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Number of persons","Persons","249","thousands","3","v119335856","3.1.1.1.1.7.1","30","E","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Percentage of persons","Percent","239","units","0","v119335857","3.1.1.1.1.7.2","6.7","E","","","1"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Number of persons","Persons","249","thousands","3","v119335860","3.1.1.1.1.8.1","25","E","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Percentage of persons","Percent","239","units","0","v119335861","3.1.1.1.1.8.2","5.6","E","","","1"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Number of persons","Persons","249","thousands","3","v119335864","3.1.1.1.1.9.1","191","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Percentage of persons","Percent","239","units","0","v119335865","3.1.1.1.1.9.2","42.6","","","","1"


