REF_DATE,GEO,DGUID,Age group,Sex,Current employment status,Perceived health,Cultural activities,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Making music,Number of persons,Persons,144,thousands,3,v119413592,5.1.1.1.1.1.1,144,,,,0
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Making music,Percentage of persons,Percent,17.9,units,0,v119413593,5.1.1.1.1.1.2,17.9,,,,1
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Theatre,Number of persons,Persons,0,thousands,3,v119413596,5.1.1.1.1.2.1,,F,,,0
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Theatre,Percentage of persons,Percent,0,units,0,v119413597,5.1.1.1.1.2.2,,F,,,1
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Audio-visual and interactive media,Number of persons,Persons,35,thousands,3,v119413600,5.1.1.1.1.3.1,35,E,,,0
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Audio-visual and interactive media,Percentage of persons,Percent,4.3,units,0,v119413601,5.1.1.1.1.3.2,4.3,E,,,1
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Dancing,Number of persons,Persons,62,thousands,3,v119413604,5.1.1.1.1.4.1,62,E,,,0
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Dancing,Percentage of persons,Percent,7.7,units,0,v119413605,5.1.1.1.1.4.2,7.7,E,,,1
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Visual arts,Number of persons,Persons,121,thousands,3,v119413608,5.1.1.1.1.5.1,121,,,,0
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Visual arts,Percentage of persons,Percent,15,units,0,v119413609,5.1.1.1.1.5.2,15.0,,,,1
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Crafting,Number of persons,Persons,186,thousands,3,v119413612,5.1.1.1.1.6.1,186,,,,0
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Crafting,Percentage of persons,Percent,23.2,units,0,v119413613,5.1.1.1.1.6.2,23.2,,,,1
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Writing,Number of persons,Persons,84,thousands,3,v119413616,5.1.1.1.1.7.1,84,,,,0
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Writing,Percentage of persons,Percent,10.4,units,0,v119413617,5.1.1.1.1.7.2,10.4,,,,1
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Other cultural activities,Number of persons,Persons,68,thousands,3,v119413620,5.1.1.1.1.8.1,68,,,,0
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Other cultural activities,Percentage of persons,Percent,8.5,units,0,v119413621,5.1.1.1.1.8.2,8.5,,,,1
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Did not participate in cultural activities,Number of persons,Persons,315,thousands,3,v119413624,5.1.1.1.1.9.1,315,,,,0
2016,Nova Scotia,2016A000212,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Did not participate in cultural activities,Percentage of persons,Percent,39.1,units,0,v119413625,5.1.1.1.1.9.2,39.1,,,,1
