REF_DATE,GEO,DGUID,Age group,Sex,Current employment status,Perceived health,Cultural activities,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Making music,Number of persons,Persons,1847,thousands,3,v119530232,8.1.1.1.1.1.1,1847,,,,0
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Making music,Percentage of persons,Percent,15.8,units,0,v119530233,8.1.1.1.1.1.2,15.8,,,,1
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Theatre,Number of persons,Persons,217,thousands,3,v119530236,8.1.1.1.1.2.1,217,E,,,0
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Theatre,Percentage of persons,Percent,1.9,units,0,v119530237,8.1.1.1.1.2.2,1.9,E,,,1
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Audio-visual and interactive media,Number of persons,Persons,624,thousands,3,v119530240,8.1.1.1.1.3.1,624,,,,0
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Audio-visual and interactive media,Percentage of persons,Percent,5.4,units,0,v119530241,8.1.1.1.1.3.2,5.4,,,,1
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Dancing,Number of persons,Persons,1181,thousands,3,v119530244,8.1.1.1.1.4.1,1181,,,,0
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Dancing,Percentage of persons,Percent,10.1,units,0,v119530245,8.1.1.1.1.4.2,10.1,,,,1
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Visual arts,Number of persons,Persons,1736,thousands,3,v119530248,8.1.1.1.1.5.1,1736,,,,0
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Visual arts,Percentage of persons,Percent,14.9,units,0,v119530249,8.1.1.1.1.5.2,14.9,,,,1
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Crafting,Number of persons,Persons,2257,thousands,3,v119530252,8.1.1.1.1.6.1,2257,,,,0
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Crafting,Percentage of persons,Percent,19.4,units,0,v119530253,8.1.1.1.1.6.2,19.4,,,,1
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Writing,Number of persons,Persons,1516,thousands,3,v119530256,8.1.1.1.1.7.1,1516,,,,0
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Writing,Percentage of persons,Percent,13,units,0,v119530257,8.1.1.1.1.7.2,13.0,,,,1
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Other cultural activities,Number of persons,Persons,692,thousands,3,v119530260,8.1.1.1.1.8.1,692,,,,0
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Other cultural activities,Percentage of persons,Percent,5.9,units,0,v119530261,8.1.1.1.1.8.2,5.9,,,,1
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Did not participate in cultural activities,Number of persons,Persons,5266,thousands,3,v119530264,8.1.1.1.1.9.1,5266,,,,0
2016,Ontario,2016A000235,"Total, 15 years and over",Both sexes,"Total, current employment status","Total, perceived health",Did not participate in cultural activities,Percentage of persons,Percent,45.2,units,0,v119530265,8.1.1.1.1.9.2,45.2,,,,1
