"REF_DATE","GEO","DGUID","Age group","Sex","Current employment status","Perceived health","Cultural activities","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Number of persons","Persons","249","thousands","3","v119374712","4.1.1.1.1.1.1","22","","","","0"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Percentage of persons","Percent","239","units","0","v119374713","4.1.1.1.1.1.2","17.7","","","","1"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Number of persons","Persons","249","thousands","3","v119374716","4.1.1.1.1.2.1","","F","","","0"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Percentage of persons","Percent","239","units","0","v119374717","4.1.1.1.1.2.2","","F","","","1"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Number of persons","Persons","249","thousands","3","v119374720","4.1.1.1.1.3.1","","F","","","0"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Percentage of persons","Percent","239","units","0","v119374721","4.1.1.1.1.3.2","","F","","","1"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Number of persons","Persons","249","thousands","3","v119374724","4.1.1.1.1.4.1","8","E","","","0"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Percentage of persons","Percent","239","units","0","v119374725","4.1.1.1.1.4.2","6.8","E","","","1"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Number of persons","Persons","249","thousands","3","v119374728","4.1.1.1.1.5.1","18","","","","0"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Percentage of persons","Percent","239","units","0","v119374729","4.1.1.1.1.5.2","15.0","","","","1"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Number of persons","Persons","249","thousands","3","v119374732","4.1.1.1.1.6.1","32","","","","0"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Percentage of persons","Percent","239","units","0","v119374733","4.1.1.1.1.6.2","25.8","","","","1"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Number of persons","Persons","249","thousands","3","v119374736","4.1.1.1.1.7.1","11","E","","","0"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Percentage of persons","Percent","239","units","0","v119374737","4.1.1.1.1.7.2","9.4","E","","","1"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Number of persons","Persons","249","thousands","3","v119374740","4.1.1.1.1.8.1","10","E","","","0"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Percentage of persons","Percent","239","units","0","v119374741","4.1.1.1.1.8.2","8.0","E","","","1"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Number of persons","Persons","249","thousands","3","v119374744","4.1.1.1.1.9.1","48","","","","0"
"2016","Prince Edward Island","2016A000211","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Percentage of persons","Percent","239","units","0","v119374745","4.1.1.1.1.9.2","39.0","","","","1"


