"REF_DATE","GEO","DGUID","Age group","Sex","Current employment status","Perceived health","Cultural activities","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Number of persons","Persons","249","thousands","3","v119491352","7.1.1.1.1.1.1","807","","","","0"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Percentage of persons","Percent","239","units","0","v119491353","7.1.1.1.1.1.2","11.6","","","","1"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Number of persons","Persons","249","thousands","3","v119491356","7.1.1.1.1.2.1","","F","","","0"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Percentage of persons","Percent","239","units","0","v119491357","7.1.1.1.1.2.2","","F","","","1"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Number of persons","Persons","249","thousands","3","v119491360","7.1.1.1.1.3.1","183","E","","","0"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Percentage of persons","Percent","239","units","0","v119491361","7.1.1.1.1.3.2","2.6","E","","","1"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Number of persons","Persons","249","thousands","3","v119491364","7.1.1.1.1.4.1","491","","","","0"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Percentage of persons","Percent","239","units","0","v119491365","7.1.1.1.1.4.2","7.1","","","","1"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Number of persons","Persons","249","thousands","3","v119491368","7.1.1.1.1.5.1","589","","","","0"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Percentage of persons","Percent","239","units","0","v119491369","7.1.1.1.1.5.2","8.5","","","","1"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Number of persons","Persons","249","thousands","3","v119491372","7.1.1.1.1.6.1","781","","","","0"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Percentage of persons","Percent","239","units","0","v119491373","7.1.1.1.1.6.2","11.2","","","","1"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Number of persons","Persons","249","thousands","3","v119491376","7.1.1.1.1.7.1","517","","","","0"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Percentage of persons","Percent","239","units","0","v119491377","7.1.1.1.1.7.2","7.4","","","","1"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Number of persons","Persons","249","thousands","3","v119491380","7.1.1.1.1.8.1","254","","","","0"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Percentage of persons","Percent","239","units","0","v119491381","7.1.1.1.1.8.2","3.6","","","","1"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Number of persons","Persons","249","thousands","3","v119491384","7.1.1.1.1.9.1","4153","","","","0"
"2016","Quebec","2016A000224","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Percentage of persons","Percent","239","units","0","v119491385","7.1.1.1.1.9.2","59.7","","","","1"


