"REF_DATE","GEO","DGUID","Age group","Sex","Current employment status","Perceived health","Cultural activities","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Number of persons","Persons","249","thousands","3","v119646872","11.1.1.1.1.1.1","141","","","","0"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Making music","Percentage of persons","Percent","239","units","0","v119646873","11.1.1.1.1.1.2","15.4","","","","1"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Number of persons","Persons","249","thousands","3","v119646876","11.1.1.1.1.2.1","","F","","","0"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Theatre","Percentage of persons","Percent","239","units","0","v119646877","11.1.1.1.1.2.2","","F","","","1"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Number of persons","Persons","249","thousands","3","v119646880","11.1.1.1.1.3.1","23","E","","","0"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Audio-visual and interactive media","Percentage of persons","Percent","239","units","0","v119646881","11.1.1.1.1.3.2","2.5","E","","","1"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Number of persons","Persons","249","thousands","3","v119646884","11.1.1.1.1.4.1","77","","","","0"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Dancing","Percentage of persons","Percent","239","units","0","v119646885","11.1.1.1.1.4.2","8.4","","","","1"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Number of persons","Persons","249","thousands","3","v119646888","11.1.1.1.1.5.1","99","","","","0"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Visual arts","Percentage of persons","Percent","239","units","0","v119646889","11.1.1.1.1.5.2","10.8","","","","1"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Number of persons","Persons","249","thousands","3","v119646892","11.1.1.1.1.6.1","196","","","","0"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Crafting","Percentage of persons","Percent","239","units","0","v119646893","11.1.1.1.1.6.2","21.3","","","","1"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Number of persons","Persons","249","thousands","3","v119646896","11.1.1.1.1.7.1","82","","","","0"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Writing","Percentage of persons","Percent","239","units","0","v119646897","11.1.1.1.1.7.2","9.0","","","","1"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Number of persons","Persons","249","thousands","3","v119646900","11.1.1.1.1.8.1","59","","","","0"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Other cultural activities","Percentage of persons","Percent","239","units","0","v119646901","11.1.1.1.1.8.2","6.5","","","","1"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Number of persons","Persons","249","thousands","3","v119646904","11.1.1.1.1.9.1","439","","","","0"
"2016","Saskatchewan","2016A000247","Total, 15 years and over","Both sexes","Total, current employment status","Total, perceived health","Did not participate in cultural activities","Percentage of persons","Percent","239","units","0","v119646905","11.1.1.1.1.9.2","47.8","","","","1"


