"REF_DATE","GEO","DGUID","Violations","Age of victim","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","","Total, all violations","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598567","1.1.1.2","1091.12","","","","2"
"2020","Canada","","Total, all violations","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598567","1.1.1.2","1064.98","","","","2"
"2021","Canada","","Total, all violations","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598567","1.1.1.2","1118.42","","","","2"
"2019","Canada","","Total, all violations","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598569","1.1.2.2","434.54","","","","2"
"2020","Canada","","Total, all violations","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598569","1.1.2.2","386.46","","","","2"
"2021","Canada","","Total, all violations","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598569","1.1.2.2","449.68","","","","2"
"2019","Canada","","Total, all violations","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631520","1.1.8.2","2067.30","","","","2"
"2020","Canada","","Total, all violations","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631520","1.1.8.2","1693.59","","","","2"
"2021","Canada","","Total, all violations","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631520","1.1.8.2","2020.25","","","","2"
"2019","Canada","","Total, all violations","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598575","1.1.5.2","2085.96","","","","2"
"2020","Canada","","Total, all violations","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598575","1.1.5.2","1992.70","","","","2"
"2021","Canada","","Total, all violations","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598575","1.1.5.2","2036.20","","","","2"
"2019","Canada","","Total, all violations","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631522","1.1.9.2","1661.70","","","","2"
"2020","Canada","","Total, all violations","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631522","1.1.9.2","1687.47","","","","2"
"2021","Canada","","Total, all violations","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631522","1.1.9.2","1734.32","","","","2"
"2019","Canada","","Total, all violations","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631524","1.1.10.2","774.01","","","","2"
"2020","Canada","","Total, all violations","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631524","1.1.10.2","803.75","","","","2"
"2021","Canada","","Total, all violations","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631524","1.1.10.2","838.15","","","","2"
"2019","Canada","","Total, all violations","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651649","1.1.11.2","230.72","","","","2"
"2020","Canada","","Total, all violations","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651649","1.1.11.2","227.07","","","","2"
"2021","Canada","","Total, all violations","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651649","1.1.11.2","235.50","","","","2"
"2019","Canada","","Violations causing death and attempted murder","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598581","1.2.1.2","4.36","","","","2"
"2020","Canada","","Violations causing death and attempted murder","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598581","1.2.1.2","4.47","","","","2"
"2021","Canada","","Violations causing death and attempted murder","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598581","1.2.1.2","4.23","","","","2"
"2019","Canada","","Violations causing death and attempted murder","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598583","1.2.2.2","0.99","","","","2"
"2020","Canada","","Violations causing death and attempted murder","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598583","1.2.2.2","1.71","","","","2"
"2021","Canada","","Violations causing death and attempted murder","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598583","1.2.2.2","1.17","","","","2"
"2019","Canada","","Violations causing death and attempted murder","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631528","1.2.8.2","3.53","","","","2"
"2020","Canada","","Violations causing death and attempted murder","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631528","1.2.8.2","2.98","","","","2"
"2021","Canada","","Violations causing death and attempted murder","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631528","1.2.8.2","3.61","","","","2"
"2019","Canada","","Violations causing death and attempted murder","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598589","1.2.5.2","9.60","","","","2"
"2020","Canada","","Violations causing death and attempted murder","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598589","1.2.5.2","9.32","","","","2"
"2021","Canada","","Violations causing death and attempted murder","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598589","1.2.5.2","9.90","","","","2"
"2019","Canada","","Violations causing death and attempted murder","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631530","1.2.9.2","7.12","","","","2"
"2020","Canada","","Violations causing death and attempted murder","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631530","1.2.9.2","7.43","","","","2"
"2021","Canada","","Violations causing death and attempted murder","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631530","1.2.9.2","6.76","","","","2"
"2019","Canada","","Violations causing death and attempted murder","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631532","1.2.10.2","3.39","","","","2"
"2020","Canada","","Violations causing death and attempted murder","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631532","1.2.10.2","3.47","","","","2"
"2021","Canada","","Violations causing death and attempted murder","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631532","1.2.10.2","3.10","","","","2"
"2019","Canada","","Violations causing death and attempted murder","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651651","1.2.11.2","1.45","","","","2"
"2020","Canada","","Violations causing death and attempted murder","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651651","1.2.11.2","1.35","","","","2"
"2021","Canada","","Violations causing death and attempted murder","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651651","1.2.11.2","1.47","","","","2"
"2019","Canada","","Sexual assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598623","1.5.1.2","80.78","","","","2"
"2020","Canada","","Sexual assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598623","1.5.1.2","74.04","","","","2"
"2021","Canada","","Sexual assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598623","1.5.1.2","87.38","","","","2"
"2019","Canada","","Sexual assaults","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598625","1.5.2.2","62.14","","","","2"
"2020","Canada","","Sexual assaults","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598625","1.5.2.2","56.13","","","","2"
"2021","Canada","","Sexual assaults","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598625","1.5.2.2","69.26","","","","2"
"2019","Canada","","Sexual assaults","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631552","1.5.8.2","347.68","","","","2"
"2020","Canada","","Sexual assaults","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631552","1.5.8.2","291.80","","","","2"
"2021","Canada","","Sexual assaults","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631552","1.5.8.2","397.81","","","","2"
"2019","Canada","","Sexual assaults","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598631","1.5.5.2","208.58","","","","2"
"2020","Canada","","Sexual assaults","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598631","1.5.5.2","195.46","","","","2"
"2021","Canada","","Sexual assaults","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598631","1.5.5.2","217.99","","","","2"
"2019","Canada","","Sexual assaults","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631554","1.5.9.2","84.42","","","","2"
"2020","Canada","","Sexual assaults","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631554","1.5.9.2","82.85","","","","2"
"2021","Canada","","Sexual assaults","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631554","1.5.9.2","92.19","","","","2"
"2019","Canada","","Sexual assaults","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631556","1.5.10.2","24.62","","","","2"
"2020","Canada","","Sexual assaults","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631556","1.5.10.2","23.23","","","","2"
"2021","Canada","","Sexual assaults","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631556","1.5.10.2","26.22","","","","2"
"2019","Canada","","Sexual assaults","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651657","1.5.11.2","10.55","","","","2"
"2020","Canada","","Sexual assaults","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651657","1.5.11.2","9.35","","","","2"
"2021","Canada","","Sexual assaults","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651657","1.5.11.2","9.26","","","","2"
"2019","Canada","","Sexual violations against children","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598679","1.9.1.2","25.01","","","","2"
"2020","Canada","","Sexual violations against children","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598679","1.9.1.2","25.37","","","","2"
"2021","Canada","","Sexual violations against children","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598679","1.9.1.2","28.93","","","","2"
"2019","Canada","","Sexual violations against children","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598681","1.9.2.2","83.33","","","","2"
"2020","Canada","","Sexual violations against children","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598681","1.9.2.2","86.21","","","","2"
"2021","Canada","","Sexual violations against children","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598681","1.9.2.2","98.52","","","","2"
"2019","Canada","","Sexual violations against children","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631584","1.9.8.2","217.62","","","","2"
"2020","Canada","","Sexual violations against children","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631584","1.9.8.2","218.96","","","","2"
"2021","Canada","","Sexual violations against children","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631584","1.9.8.2","250.67","","","","2"
"2019","Canada","","Sexual violations against children","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598687","1.9.5.2","3.32","","","","2"
"2020","Canada","","Sexual violations against children","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598687","1.9.5.2","2.97","","","","2"
"2021","Canada","","Sexual violations against children","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598687","1.9.5.2","3.71","","","","2"
"2019","Canada","","Sexual violations against children","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631586","1.9.9.2","0.19","","","","2"
"2020","Canada","","Sexual violations against children","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631586","1.9.9.2","0.20","","","","2"
"2021","Canada","","Sexual violations against children","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631586","1.9.9.2","0.22","","","","2"
"2019","Canada","","Sexual violations against children","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631588","1.9.10.2","0.01","","","","2"
"2020","Canada","","Sexual violations against children","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631588","1.9.10.2","0.00","","","","2"
"2021","Canada","","Sexual violations against children","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631588","1.9.10.2","0.02","","","","2"
"2019","Canada","","Sexual violations against children","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651665","1.9.11.2","0.00","","","","2"
"2020","Canada","","Sexual violations against children","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651665","1.9.11.2","0.00","","","","2"
"2021","Canada","","Sexual violations against children","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651665","1.9.11.2","0.00","","","","2"
"2019","Canada","","Assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598693","1.10.1.2","696.01","","","","2"
"2020","Canada","","Assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598693","1.10.1.2","678.22","","","","2"
"2021","Canada","","Assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598693","1.10.1.2","702.48","","","","2"
