,Province,Cultural activities,Estimates,Type,Count,Scale
0,New Brunswick,Making music,Number of persons,Persons,94.0,thousands
1,New Brunswick,Making music,Percentage of persons,Percent,14.8,units
2,New Brunswick,Theatre,Number of persons,Persons,0.0,thousands
3,New Brunswick,Theatre,Percentage of persons,Percent,0.0,units
4,New Brunswick,Audio-visual and interactive media,Number of persons,Persons,20.0,thousands
5,New Brunswick,Audio-visual and interactive media,Percentage of persons,Percent,3.1,units
6,New Brunswick,Dancing,Number of persons,Persons,53.0,thousands
7,New Brunswick,Dancing,Percentage of persons,Percent,8.3,units
8,New Brunswick,Visual arts,Number of persons,Persons,74.0,thousands
9,New Brunswick,Visual arts,Percentage of persons,Percent,11.7,units
10,New Brunswick,Crafting,Number of persons,Persons,142.0,thousands
11,New Brunswick,Crafting,Percentage of persons,Percent,22.4,units
12,New Brunswick,Writing,Number of persons,Persons,36.0,thousands
13,New Brunswick,Writing,Percentage of persons,Percent,5.7,units
14,New Brunswick,Other cultural activities,Number of persons,Persons,42.0,thousands
15,New Brunswick,Other cultural activities,Percentage of persons,Percent,6.7,units
16,New Brunswick,Did not participate in cultural activities,Number of persons,Persons,293.0,thousands
17,New Brunswick,Did not participate in cultural activities,Percentage of persons,Percent,46.1,units
