,Province,Cultural activities,Estimates,Type,Count,Scale
0,Newfoundland and Labrador,Making music,Number of persons,Persons,76.0,thousands
1,Newfoundland and Labrador,Making music,Percentage of persons,Percent,17.1,units
2,Newfoundland and Labrador,Theatre,Number of persons,Persons,0.0,thousands
3,Newfoundland and Labrador,Theatre,Percentage of persons,Percent,0.0,units
4,Newfoundland and Labrador,Audio-visual and interactive media,Number of persons,Persons,0.0,thousands
5,Newfoundland and Labrador,Audio-visual and interactive media,Percentage of persons,Percent,0.0,units
6,Newfoundland and Labrador,Dancing,Number of persons,Persons,61.0,thousands
7,Newfoundland and Labrador,Dancing,Percentage of persons,Percent,13.6,units
8,Newfoundland and Labrador,Visual arts,Number of persons,Persons,39.0,thousands
9,Newfoundland and Labrador,Visual arts,Percentage of persons,Percent,8.8,units
10,Newfoundland and Labrador,Crafting,Number of persons,Persons,97.0,thousands
11,Newfoundland and Labrador,Crafting,Percentage of persons,Percent,21.6,units
12,Newfoundland and Labrador,Writing,Number of persons,Persons,30.0,thousands
13,Newfoundland and Labrador,Writing,Percentage of persons,Percent,6.7,units
14,Newfoundland and Labrador,Other cultural activities,Number of persons,Persons,25.0,thousands
15,Newfoundland and Labrador,Other cultural activities,Percentage of persons,Percent,5.6,units
16,Newfoundland and Labrador,Did not participate in cultural activities,Number of persons,Persons,191.0,thousands
17,Newfoundland and Labrador,Did not participate in cultural activities,Percentage of persons,Percent,42.6,units
