,Province,Cultural activities,Estimates,Type,Count,Scale
0,Ontario,Making music,Number of persons,Persons,1847.0,thousands
1,Ontario,Making music,Percentage of persons,Percent,15.8,units
2,Ontario,Theatre,Number of persons,Persons,217.0,thousands
3,Ontario,Theatre,Percentage of persons,Percent,1.9,units
4,Ontario,Audio-visual and interactive media,Number of persons,Persons,624.0,thousands
5,Ontario,Audio-visual and interactive media,Percentage of persons,Percent,5.4,units
6,Ontario,Dancing,Number of persons,Persons,1181.0,thousands
7,Ontario,Dancing,Percentage of persons,Percent,10.1,units
8,Ontario,Visual arts,Number of persons,Persons,1736.0,thousands
9,Ontario,Visual arts,Percentage of persons,Percent,14.9,units
10,Ontario,Crafting,Number of persons,Persons,2257.0,thousands
11,Ontario,Crafting,Percentage of persons,Percent,19.4,units
12,Ontario,Writing,Number of persons,Persons,1516.0,thousands
13,Ontario,Writing,Percentage of persons,Percent,13.0,units
14,Ontario,Other cultural activities,Number of persons,Persons,692.0,thousands
15,Ontario,Other cultural activities,Percentage of persons,Percent,5.9,units
16,Ontario,Did not participate in cultural activities,Number of persons,Persons,5266.0,thousands
17,Ontario,Did not participate in cultural activities,Percentage of persons,Percent,45.2,units
