,Province,Cultural activities,Estimates,Type,Count,Scale
0,Prince Edward Island,Making music,Number of persons,Persons,22.0,thousands
1,Prince Edward Island,Making music,Percentage of persons,Percent,17.7,units
2,Prince Edward Island,Theatre,Number of persons,Persons,0.0,thousands
3,Prince Edward Island,Theatre,Percentage of persons,Percent,0.0,units
4,Prince Edward Island,Audio-visual and interactive media,Number of persons,Persons,0.0,thousands
5,Prince Edward Island,Audio-visual and interactive media,Percentage of persons,Percent,0.0,units
6,Prince Edward Island,Dancing,Number of persons,Persons,8.0,thousands
7,Prince Edward Island,Dancing,Percentage of persons,Percent,6.8,units
8,Prince Edward Island,Visual arts,Number of persons,Persons,18.0,thousands
9,Prince Edward Island,Visual arts,Percentage of persons,Percent,15.0,units
10,Prince Edward Island,Crafting,Number of persons,Persons,32.0,thousands
11,Prince Edward Island,Crafting,Percentage of persons,Percent,25.8,units
12,Prince Edward Island,Writing,Number of persons,Persons,11.0,thousands
13,Prince Edward Island,Writing,Percentage of persons,Percent,9.4,units
14,Prince Edward Island,Other cultural activities,Number of persons,Persons,10.0,thousands
15,Prince Edward Island,Other cultural activities,Percentage of persons,Percent,8.0,units
16,Prince Edward Island,Did not participate in cultural activities,Number of persons,Persons,48.0,thousands
17,Prince Edward Island,Did not participate in cultural activities,Percentage of persons,Percent,39.0,units
