,Province,Cultural activities,Estimates,Type,Count,Scale
0,Quebec,Making music,Number of persons,Persons,807.0,thousands
1,Quebec,Making music,Percentage of persons,Percent,11.6,units
2,Quebec,Theatre,Number of persons,Persons,0.0,thousands
3,Quebec,Theatre,Percentage of persons,Percent,0.0,units
4,Quebec,Audio-visual and interactive media,Number of persons,Persons,183.0,thousands
5,Quebec,Audio-visual and interactive media,Percentage of persons,Percent,2.6,units
6,Quebec,Dancing,Number of persons,Persons,491.0,thousands
7,Quebec,Dancing,Percentage of persons,Percent,7.1,units
8,Quebec,Visual arts,Number of persons,Persons,589.0,thousands
9,Quebec,Visual arts,Percentage of persons,Percent,8.5,units
10,Quebec,Crafting,Number of persons,Persons,781.0,thousands
11,Quebec,Crafting,Percentage of persons,Percent,11.2,units
12,Quebec,Writing,Number of persons,Persons,517.0,thousands
13,Quebec,Writing,Percentage of persons,Percent,7.4,units
14,Quebec,Other cultural activities,Number of persons,Persons,254.0,thousands
15,Quebec,Other cultural activities,Percentage of persons,Percent,3.6,units
16,Quebec,Did not participate in cultural activities,Number of persons,Persons,4153.0,thousands
17,Quebec,Did not participate in cultural activities,Percentage of persons,Percent,59.7,units
