,Province,Cultural activities,Estimates,Type,Count,Scale
0,Saskatchewan,Making music,Number of persons,Persons,141.0,thousands
1,Saskatchewan,Making music,Percentage of persons,Percent,15.4,units
2,Saskatchewan,Theatre,Number of persons,Persons,0.0,thousands
3,Saskatchewan,Theatre,Percentage of persons,Percent,0.0,units
4,Saskatchewan,Audio-visual and interactive media,Number of persons,Persons,23.0,thousands
5,Saskatchewan,Audio-visual and interactive media,Percentage of persons,Percent,2.5,units
6,Saskatchewan,Dancing,Number of persons,Persons,77.0,thousands
7,Saskatchewan,Dancing,Percentage of persons,Percent,8.4,units
8,Saskatchewan,Visual arts,Number of persons,Persons,99.0,thousands
9,Saskatchewan,Visual arts,Percentage of persons,Percent,10.8,units
10,Saskatchewan,Crafting,Number of persons,Persons,196.0,thousands
11,Saskatchewan,Crafting,Percentage of persons,Percent,21.3,units
12,Saskatchewan,Writing,Number of persons,Persons,82.0,thousands
13,Saskatchewan,Writing,Percentage of persons,Percent,9.0,units
14,Saskatchewan,Other cultural activities,Number of persons,Persons,59.0,thousands
15,Saskatchewan,Other cultural activities,Percentage of persons,Percent,6.5,units
16,Saskatchewan,Did not participate in cultural activities,Number of persons,Persons,439.0,thousands
17,Saskatchewan,Did not participate in cultural activities,Percentage of persons,Percent,47.8,units
