City_ID2,City_IDWeather,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,GEO,City_ID2
0,0,Halifax,44.6453,-63.5724,-1.0,51,100,3.09,CA,1675988697,Halifax,18426
1,1,Québec,46.8123,-71.2145,-4.199999999999989,87,100,7.72,CA,1675988330,Québec,18534
2,2,Montréal,45.5088,-73.5878,1.3799999999999955,94,100,5.66,CA,1675988509,Montréal,18588
3,3,Ottawa,45.4112,-75.6981,1.160000000000025,94,100,8.23,CA,1675988486,Ottawa-Gatineau,18660
4,4,Gatineau,45.4772,-75.7016,1.07000000000005,93,100,8.23,CA,1675988560,Ottawa-Gatineau,18606
5,5,Toronto,43.7001,-79.4163,4.060000000000002,96,100,8.23,CA,1675988394,Toronto,18732
6,6,Hamilton,43.2334,-79.9496,3.740000000000009,95,100,4.63,CA,1675988724,Hamilton,18750
7,7,St. Catharines,43.1668,-79.2496,14.400000000000034,100,100,1.54,CA,1675988482,St.Catharines-Niagara,18768
8,8,Kitchener,43.4254,-80.5112,4.82000000000005,100,100,1.54,CA,1675988770,Kitchener-Cambridge-Waterloo,18786
9,9,London,42.9834,-81.233,9.57000000000005,79,75,10.8,CA,1675988725,London,18840
10,10,Windsor,42.3001,-83.0165,8.939999999999998,83,100,10.29,CA,1675988453,Windsor,18858
11,11,Winnipeg,49.8844,-97.147,-9.009999999999991,48,0,3.6,CA,1675988638,Winnipeg,18948
12,12,Calgary,51.0501,-114.0853,6.970000000000027,54,75,2.57,CA,1675988726,Calgary,19056
13,13,Edmonton,53.5501,-113.4687,0.4399999999999977,58,75,2.06,CA,1675988483,Edmonton,19074
14,14,Vancouver,49.2497,-123.1193,8.180000000000007,86,75,5.14,CA,1675988606,Vancouver,19146
